fishID,time,ageCap,radCap,rad1,rad2,rad3,rad4,rad5,rad6,rad7
860,2,3,2.5794,0.6989,1.8517,2.5794,,,,
882,1,4,2.8749,1.0808,1.6357,2.5003,2.8749,,,
882,2,4,2.817,1.0519,1.8732,2.4712,2.817,,,
883,1,5,4.7838,1.3545,2.6657,3.451,4.2651,4.7838,,
884,1,5,3.7106,1.0591,2.0895,2.8101,3.3432,3.7106,,
884,2,5,3.7248,1.1527,2.2478,2.9683,3.2637,3.7248,,
885,1,3,3.2853,1.0951,2.5072,3.2853,,,,
885,2,3,3.2349,1.1527,2.6297,3.2349,,,,
886,1,3,2.9108,0.8501,1.9741,2.9108,,,,
886,2,3,2.882,0.8718,2.075,2.882,,,,
887,1,3,3.271,1.3041,2.3488,3.271,,,,
887,2,3,3.1988,1.2824,2.3919,3.1988,,,,
888,1,4,3.3214,0.6196,1.7435,2.9251,3.3214,,,
888,2,4,3.5736,0.7133,1.8733,3.0549,3.5736,,,
889,1,4,3.8762,0.9654,1.8444,2.8243,3.8762,,,
889,2,4,3.696,0.9078,2.0029,2.6009,3.696,,,
890,1,4,3.5159,0.8718,1.8228,2.8963,3.5159,,,
890,2,4,3.7032,0.8069,1.9164,3.1844,3.7032,,,
891,1,3,2.8459,0.8863,1.8661,2.8459,,,,
891,2,3,2.8746,1.0014,2.01,2.8746,,,,
892,1,4,4.1643,0.9366,1.9452,3.1772,4.1643,,,
892,2,4,4.1862,0.915,1.8445,2.9757,4.1862,,,
893,1,5,4.6326,0.7709,2.0677,3.3285,3.7176,4.6326,,
893,1,5,4.4741,0.7709,1.9885,3.3934,3.8905,4.4741,,
893,2,5,4.2291,0.6844,1.866,3.2493,3.5591,4.2291,,
893,2,5,4.2369,1.0087,1.8013,3.2134,3.6169,4.2369,,
894,1,5,4.0206,1.0231,2.1903,2.8531,3.5521,4.0206,,
894,1,5,4.2652,1.268,2.2911,3.2277,3.8833,4.2652,,
894,2,5,4.0924,1.2104,2.2335,2.9612,3.6745,4.0924,,
894,2,5,4.2364,1.2536,2.1398,2.9828,3.7537,4.2364,,
895,1,5,4.6038,0.8429,1.9956,3.1772,3.8329,4.6038,,
895,1,5,4.5966,0.9294,2.0173,3.2637,3.8329,4.5966,,
895,2,5,4.6184,0.8646,2.14,3.4008,3.9196,4.6184,,
895,2,5,4.604,0.9222,2.1038,3.3646,3.9482,4.604,,
896,1,5,3.9988,1.1023,1.8372,2.5649,3.408,3.9988,,
896,1,5,3.8617,1.0591,1.8156,2.4208,3.4294,3.8617,,
896,2,5,3.9483,1.016,1.7076,2.5577,3.4655,3.9483,,
896,2,5,4.0418,1.1023,1.8948,2.6801,3.6023,4.0418,,
897,1,5,4.6109,1.0086,2.2406,3.523,3.9409,4.6109,,
897,1,6,4.6614,0.9438,1.549,2.5144,3.6023,4.0346,4.6614,
897,2,5,4.6041,0.951,2.4208,3.6024,4.1356,4.6041,,
897,2,6,4.7191,0.9222,1.4914,2.2983,3.5663,4.1283,4.7191,
899,1,5,3.7104,0.8357,1.4697,2.3631,3.2277,3.7104,,
899,2,5,3.6167,0.8573,1.4697,2.3198,3.1267,3.6167,,
900,1,5,3.2853,1.1744,1.7003,2.3271,2.853,3.2853,,
900,2,5,3.2854,1.0303,1.6643,2.2695,2.8459,3.2854,,
901,1,5,3.7395,0.7349,1.8373,2.7019,3.2567,3.7395,,
901,2,5,3.3431,0.562,1.0304,1.7004,2.5362,3.3431,,
902,1,4,3.2565,0.879,1.83,2.3271,3.2565,,,
902,2,4,3.2421,0.8934,1.8228,2.4352,3.2421,,,
903,1,5,3.9054,0.6054,1.8015,2.5724,3.2426,3.9054,,
903,2,5,4.0493,0.7782,2.0823,2.8245,3.4945,4.0493,,
904,1,4,3.343,0.6629,1.6211,2.5361,3.343,,,
904,2,4,3.1917,0.6052,1.5202,2.5649,3.1917,,,
911,1,5,4.0202,1.2248,1.758,2.3704,3.1773,4.0202,,
911,2,5,3.7753,1.0303,1.5562,2.2767,2.9179,3.7753,,
912,1,5,3.6816,0.7277,1.5346,2.1686,3.0476,3.6816,,
912,2,5,3.4946,0.7565,1.4051,2.1905,2.9182,3.4946,,
913,1,3,2.9252,1.1816,2.0462,2.9252,,,,
913,2,3,3.2637,1.2464,2.3343,3.2637,,,,
914,1,4,4.892,1.268,2.7594,4.1499,4.892,,,
914,2,4,5.1009,1.5346,2.9323,4.3156,5.1009,,,
